date,state,cases,deaths,NewCases,NewDeaths
3/16/20,California,588,11,110,5
3/17/20,California,732,14,144,3
3/18/20,California,893,17,161,3
3/19/20,California,1067,19,174,2
3/20/20,California,1283,24,216,5
3/21/20,California,1544,28,261,4
3/22/20,California,1851,35,307,7
3/23/20,California,2240,39,389,4
3/24/20,California,2644,52,404,13
3/25/20,California,3183,67,539,15
3/26/20,California,4060,82,877,15
3/27/20,California,4914,102,854,20
3/28/20,California,5565,121,651,19
3/29/20,California,6266,130,701,9
3/30/20,California,7421,146,1155,16
3/31/20,California,8582,183,1161,37
4/1/20,California,9816,212,1234,29
4/2/20,California,10995,243,1179,31
4/3/20,California,12569,282,1574,39
4/4/20,California,13796,323,1227,41
4/5/20,California,15076,349,1280,26
4/6/20,California,16284,386,1208,37
4/7/20,California,17540,447,1256,61
4/8/20,California,19043,506,1503,59
4/9/20,California,20191,548,1148,42
4/10/20,California,21366,624,1175,76
4/11/20,California,22421,632,1055,8
4/12/20,California,23323,676,902,44
4/13/20,California,24334,725,1011,49
4/14/20,California,25758,778,1424,53
4/15/20,California,27107,885,1349,107
4/16/20,California,28142,971,1035,86
4/17/20,California,29398,1050,1256,79
4/18/20,California,30829,1146,1431,96
4/19/20,California,31544,1176,715,30
4/20/20,California,33862,1223,2318,47
4/21/20,California,35844,1316,1982,93
4/22/20,California,37573,1425,1729,109
4/23/20,California,39534,1553,1961,128
4/24/20,California,41368,1619,1834,66
4/25/20,California,42590,1692,1222,73
4/26/20,California,43691,1716,1101,24
4/27/20,California,45187,1800,1496,84
4/28/20,California,46570,1884,1383,84
4/29/20,California,48904,1961,2334,77
4/30/20,California,50470,2057,1566,96
5/1/20,California,52318,2147,1848,90
5/2/20,California,53753,2213,1435,66
5/3/20,California,55072,2235,1319,22
5/4/20,California,56333,2297,1261,62
5/5/20,California,58848,2386,2515,89
5/6/20,California,60787,2478,1939,92
5/7/20,California,62481,2561,1694,83
5/8/20,California,64616,2650,2135,89
5/9/20,California,66824,2732,2208,82
5/10/20,California,68051,2769,1227,37
5/11/20,California,69514,2820,1463,51
5/12/20,California,71150,2902,1636,82
5/13/20,California,73218,3014,2068,112
5/14/20,California,74947,3039,1729,25
5/15/20,California,77015,3192,2068,153
5/16/20,California,78933,3254,1918,62
5/17/20,California,80366,3290,1433,36
5/18/20,California,81943,3322,1577,32
5/19/20,California,83981,3422,2038,100
5/20/20,California,86125,3514,2144,92
5/21/20,California,88488,3624,2363,110
5/22/20,California,90801,3690,2313,66
5/23/20,California,92815,3768,2014,78
5/24/20,California,94743,3790,1928,22
5/25/20,California,97017,3808,2274,18
5/26/20,California,99924,3859,2907,51
5/27/20,California,101873,3961,1949,102
5/28/20,California,104071,4042,2198,81
5/29/20,California,107043,4144,2972,102
5/30/20,California,110100,4214,3057,70
5/31/20,California,113114,4242,3014,28
6/1/20,California,115643,4287,2529,45
6/2/20,California,118081,4360,2438,73
6/3/20,California,120407,4422,2326,62
6/4/20,California,122917,4484,2510,62
6/5/20,California,126510,4550,3593,66
6/6/20,California,129147,4626,2637,76
6/7/20,California,131997,4653,2850,27
6/8/20,California,134287,4679,2290,26
6/9/20,California,137245,4775,2958,96
6/10/20,California,140139,4869,2894,94
6/11/20,California,143709,4941,3570,72
6/12/20,California,147285,4986,3576,45
6/13/20,California,150434,5059,3149,73
6/14/20,California,152953,5089,2519,30
6/15/20,California,155662,5120,2709,31
6/16/20,California,159131,5202,3469,82
6/17/20,California,163381,5283,4250,81
6/18/20,California,167135,5359,3754,76
6/19/20,California,170843,5425,3708,66
6/20/20,California,174854,5495,4011,70
6/21/20,California,178807,5517,3953,22
6/22/20,California,184620,5561,5813,44
6/23/20,California,191039,5637,6419,76
6/24/20,California,195889,5728,4850,91
6/25/20,California,201413,5810,5524,82
6/26/20,California,207027,5872,5614,62
6/27/20,California,211453,5902,4426,30
6/28/20,California,216955,5937,5502,35
6/29/20,California,223995,5979,7040,42
6/30/20,California,232153,6083,8158,104
7/1/20,California,239764,6168,7611,85
7/2/20,California,248198,6263,8434,95
7/3/20,California,256298,6315,8100,52
7/4/20,California,265176,6329,8878,14
7/5/20,California,271587,6369,6411,40
7/6/20,California,277869,6452,6282,83
7/7/20,California,287766,6563,9897,111
7/8/20,California,296304,6708,8538,145
7/9/20,California,303516,6825,7212,117
7/10/20,California,311505,6936,7989,111
7/11/20,California,320030,7012,8525,76
7/12/20,California,327676,7042,7646,30
7/13/20,California,336104,7085,8428,43
